,state_code,county_code,census_tract,Approved,Denied,White,Black,Asian,Other,Hispanic,Not Hispanic,Male,Female,Income,Log Income,LTV,Loan Amount,Log Loan Amount,DTI_20%-<30%,DTI_30%-<36%,DTI_36,DTI_38,DTI_39,DTI_40,DTI_41,DTI_42,DTI_43,DTI_44,DTI_45,DTI_46,DTI_47,DTI_48,DTI_50%-60%,DTI_<20%,DTI_>60%
4,VA,51683.0,51683910302.0,1,0,1,0,0,0,0,1,1,0,115.0,4.74493212836325,100.0,395000.0,12.886641043883259,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,NM,35041.0,35041000300.0,1,0,1,0,0,0,0,1,1,0,82.0,4.406719247264253,63.603,175000.0,12.072541252905651,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,WI,55133.0,55133200103.0,1,0,1,0,0,0,0,1,0,1,71.0,4.2626798770413155,95.79,225000.0,12.323855681186558,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,FL,12101.0,12101032107.0,0,1,0,1,0,0,0,1,0,1,42.0,3.7376696182833684,80.0,185000.0,12.128111104060462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,TX,48157.0,48157673101.0,0,1,0,1,0,0,0,1,0,1,203.0,5.313205979041787,90.0,85000.0,11.350406535472453,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,TX,48121.0,48121020105.0,1,0,1,0,0,0,0,1,1,0,75.0,4.31748811353631,100.0,295000.0,12.594730635321957,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,FL,12095.0,12095017501.0,1,0,0,1,0,0,0,1,1,0,85.0,4.442651256490317,103.29,245000.0,12.409013489526863,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,OR,41033.0,41033361100.0,1,0,1,0,0,0,0,1,1,0,199.0,5.293304824724492,69.193,485000.0,13.091904169919621,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,CA,6059.0,6059110605.0,0,1,0,0,1,0,0,1,0,1,55.0,4.007333185232471,72.267,545000.0,13.208541073645382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,TX,48037.0,48037011300.0,1,0,1,0,0,0,0,1,1,0,73.0,4.290459441148391,94.286,135000.0,11.813030057420567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
