Year,Lender_LEI,State,County_Code,Census_Tract,Approved,Denied,Race,Sex,Income,Log_Income,Loan_Amount,Log_Loan_Amount,LTV,Loan_Type,DTI_Ratio,preapproval,Occupancy_Type,Index
2019,549300VJ7C5JB4W87F48,IL,17111.0,17111870809.0,1,0,0_White,0_Male,66.0,4.189654742026425,145000.0,11.884489021402711,101.0,Conventional,36,2,1,370900
2019,E57ODZWZ7FF32TWEFA76,IL,17031.0,17031839200.0,0,1,Asian,Female,55.0,4.007333185232471,35000.0,10.46310334047155,63.64,Conventional,0%-20%,2,1,144508
2019,549300YOESI1GLKRL151,IL,17093.0,17093890102.0,1,0,0_White,0_Male,51.0,3.9318256327243257,205000.0,12.230765258120545,90.0,Conventional,48,2,1,552247
2019,549300J7XKT2BI5WX213,IL,17143.0,17143003900.0,1,0,0_White,Female,31.0,3.4339872044851463,65000.0,11.082142548877775,95.0,Conventional,20%-<30%,2,1,462945
2019,254900378RFGMBEKAF12,IL,17161.0,17161020100.0,1,0,0_White,0_Male,128.0,4.852030263919617,285000.0,12.560244459250788,79.74,Conventional,37,2,1,352517
2019,549300EKGRBBO8HEKR21,IL,17147.0,17147954700.0,1,0,0_White,Female,65.0,4.174387269895637,115000.0,11.652687407345388,96.5,FHA,30%-<36%,2,1,49247
2019,B4TYDEB6GKMZO031MB27,IL,17031.0,17031804507.0,1,0,0_White,0_Male,134.0,4.897839799950911,305000.0,12.628067055589549,76.12,Conventional,40,2,1,170952
2019,549300BRJZYHYKT4BJ84,IL,17089.0,17089852808.0,1,0,0_White,Female,94.0,4.543294782270004,295000.0,12.594730635321957,95.0,Conventional,38,2,1,92395
2019,KB1H1DSPRFMYMCUFXT09,IL,17197.0,17197880312.0,1,0,0_White,0_Male,173.0,5.153291594497779,455000.0,13.028052697933088,90.0,Conventional,41,2,1,265806
2019,2WHM8VNJH63UN14OL754,IL,17031.0,17031530503.0,1,0,Black,Female,53.0,3.970291913552122,145000.0,11.884489021402711,96.5,FHA,50%-60%,2,1,492224
2019,549300W4FT4H1UWPGU95,IL,17161.0,17161023200.0,1,0,0_White,0_Male,24.0,3.1780538303479458,35000.0,10.46310334047155,100.0,Conventional,30%-<36%,2,1,66659
2019,549300HW662MN1WU8550,IL,17111.0,17111871104.0,1,0,0_White,0_Male,145.0,4.976733742420574,265000.0,12.487485104968359,80.0,Conventional,0%-20%,2,1,518957
2019,549300TOZIPCBM0DLH67,IL,17113.0,17113005400.0,1,0,0_White,Female,33.0,3.4965075614664802,115000.0,11.652687407345388,98.898,Conventional,42,1,1,10088
2019,549300FGXN1K3HLB1R50,IL,17183.0,17183001200.0,1,0,0_White,0_Male,60.0,4.0943445622221,105000.0,11.56171562913966,96.5,FHA,20%-<30%,1,1,194636
2019,5493001R92DY5DI1DI85,IL,17031.0,17031829901.0,1,0,Black,Female,49.0,3.8918202981106265,115000.0,11.652687407345388,98.19,FHA,50%-60%,2,1,157502
2019,XC7Z0BA39TU7L1AKOJ12,IL,17043.0,17043842200.0,1,0,0_White,0_Male,121.0,4.795790545596741,205000.0,12.230765258120545,32.0,Conventional,42,2,1,364699
2019,549300V8CF81JGIV7038,IL,17031.0,17031770202.0,1,0,0_White,0_Male,195.0,5.272999558563747,345000.0,12.751299696013497,95.0,Conventional,30%-<36%,2,1,376374
