State,County Code,Census Tract,Approved,Denied,White,Black,Asian,Other,Hispanic,Not Hispanic,Male,Female,Income,Log Income,Loan Amount,Log Loan Amount,LTV,Loan Type_Conventional,Loan Type_FHA,Loan Type_VA,Loan Type_RHS or FSA,DTI_20%-<30%,DTI_30%-<36%,DTI_36,DTI_38,DTI_39,DTI_40,DTI_41,DTI_42,DTI_43,DTI_44,DTI_45,DTI_46,DTI_47,DTI_48,DTI_50%-60%,DTI_<20%,DTI_>60%
VA,51683.0,51683910302.0,1,0,1,0,0,0,0,1,1,0,115.0,4.74493212836325,395000.0,12.886641043883259,100.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WI,55133.0,55133200103.0,1,0,1,0,0,0,0,1,0,1,71.0,4.2626798770413155,225000.0,12.323855681186558,95.79,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,12101.0,12101032107.0,0,1,0,1,0,0,0,1,0,1,42.0,3.7376696182833684,185000.0,12.128111104060462,80.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TX,48157.0,48157673101.0,0,1,0,1,0,0,0,1,0,1,203.0,5.313205979041787,85000.0,11.350406535472453,90.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TX,48121.0,48121020105.0,1,0,1,0,0,0,0,1,1,0,75.0,4.31748811353631,295000.0,12.594730635321957,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FL,12095.0,12095017501.0,1,0,0,1,0,0,0,1,1,0,85.0,4.442651256490317,245000.0,12.409013489526863,103.29,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TX,48037.0,48037011300.0,1,0,1,0,0,0,0,1,1,0,73.0,4.290459441148391,135000.0,11.813030057420567,94.286,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,27039.0,27039950100.0,1,0,1,0,0,0,0,1,0,1,155.0,5.043425116919247,275000.0,12.524526376648708,82.388,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WI,55071.0,55071000600.0,1,0,1,0,0,0,0,1,0,1,106.0,4.663439094112067,275000.0,12.524526376648708,80.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TX,48201.0,48201555600.0,1,0,1,0,0,0,0,1,0,1,131.0,4.875197323201151,375000.0,12.834681304952548,90.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GA,13051.0,13051010700.0,1,0,0,1,0,0,0,1,1,0,92.0,4.5217885770490405,265000.0,12.487485104968359,100.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CA,6029.0,6029003803.0,1,0,1,0,0,0,0,1,0,1,92.0,4.5217885770490405,245000.0,12.409013489526863,56.88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CA,6099.0,6099002902.0,1,0,1,0,0,0,0,1,1,0,50.0,3.912023005428146,175000.0,12.072541252905651,96.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ID,16087.0,16087970200.0,1,0,1,0,0,0,0,1,1,0,132.0,4.882801922586371,345000.0,12.751299696013497,80.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,12111.0,12111382111.0,1,0,1,0,0,0,0,1,1,0,89.0,4.48863636973214,195000.0,12.180754837545884,66.55,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,15001.0,15001021604.0,1,0,1,0,0,0,0,1,1,0,594.0,6.386879319362645,1555000.0,14.256986103595471,75.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,30093.0,30093000400.0,1,0,0,0,0,1,0,1,1,0,52.0,3.9512437185814275,125000.0,11.736069016284437,100.802,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NJ,34005.0,34005700800.0,1,0,1,0,0,0,0,1,1,0,50.0,3.912023005428146,185000.0,12.128111104060462,98.188,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
KY,21065.0,21065920300.0,1,0,1,0,0,0,0,1,1,0,29.0,3.367295829986474,65000.0,11.082142548877775,92.31,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,4013.0,4013050606.0,1,0,1,0,0,0,0,1,1,0,83.0,4.418840607796598,335000.0,12.721885810807203,95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TX,48121.0,48121020107.0,1,0,1,0,0,0,1,0,1,0,109.0,4.6913478822291435,335000.0,12.721885810807203,100.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,12071.0,12071001201.0,1,0,1,0,0,0,0,1,0,1,81.0,4.394449154672439,165000.0,12.013700752882718,70.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FL,12071.0,12071010410.0,1,0,1,0,0,0,0,1,1,0,45.0,3.8066624897703196,235000.0,12.367340793126296,100.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FL,12031.0,12031013402.0,1,0,1,0,0,0,0,1,1,0,79.0,4.3694478524670215,125000.0,11.736069016284437,95.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,54037.0,54037972503.0,1,0,0,1,0,0,0,1,0,1,49.0,3.8918202981106265,175000.0,12.072541252905651,100.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AL,1083.0,1083020802.0,1,0,1,0,0,0,0,1,1,0,33.0,3.4965075614664802,135000.0,11.813030057420567,95.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WA,53037.0,53037975300.0,1,0,1,0,0,0,0,1,0,1,151.0,5.017279836814924,615000.0,13.329377546788654,77.22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
