activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2019,5493000YNV8IX4VD3X12,99999,KY,21187.0,21187970100.0,C,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Female,5,0,2,1,1,1,2,2,2,95000.0,,,,3,,,,,,276,,,2,2,2,2,,2,1,1,1,1,,32.0,,9,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,2,2,2,25-34,45-54,No,No,1,1,6,,,,,10,,,,3297,5.58,49800,135,1007,1471,31
2019,549300O6Z0I6KYMESL47,16984,IL,17031.0,17031808400.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,4,0,2,1,1,1,2,2,1,215000.0,,,,3,,,,,,360.0,,,2,1,2,2,,1,3,3,5,1,,0.0,,9,9,1.0,,,,,1.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,55-64,>74,No,Yes,2,1,6,,,,,10,,,,4279,39.1,82000,112,1331,1484,57
2019,549300XRXBA38J60S618,99999,ID,16039.0,16039960100.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,1,1,2,2,2,345000.0,90.0,4.375,0.462,2,4633.0,,1595.0,,,360,,,2,2,2,2,385000,1,1,3,5,1,,0.0,44,3,10,2.0,,,,,3.0,,,,,2,2,5.0,,,,,6.0,,,,,2,2,1,1,2,2,55-64,65-74,Yes,Yes,1,1,1,,,,,10,,,,2570,22.49,57100,89,854,1916,39
2019,549300NBFJM2PBH24L77,48620,KS,20173.0,20173009605.0,C,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,1,0,2,1,31,1,1111,1111,1111,15000.0,Exempt,Exempt,Exempt,3,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,1111,1111,1111,1111,Exempt,2,3,1111,1111,1,Exempt,85.0,Exempt,1111,1111,2.0,,,,,5.0,,,,,1,4,5.0,,,,,8.0,,,,,1,4,1,5,1,4,25-34,9999,No,,1111,1111,1111,,,,,1111,,,,5346,20.5,69500,126,1667,1904,24
2019,C5654JQHZUHN0772B561,47894,VA,51683.0,51683910302.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,2,2,3,1,1,2,2,2,395000.0,100.0,3.5,-0.1828,2,11566.57,,497.98,497.98,,360,,,2,2,2,2,395000.0,1,1,3,5,1,,115.0,30%-<36%,1,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,1,,,,,10,,,,5854,51.81,114700,76,1025,1355,29
2019,KB1H1DSPRFMYMCUFXT09,41700,TX,48029.0,48029120300.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,1,1,2,2,2,625000.0,,,,3,,,,,,360.0,,,2,2,2,2,,1,1,3,5,1,,340.0,,9,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,5,,,,,10,,,,7593,27.2,71000,244,2411,2937,68
2019,7E1PDLW1JL6TS0BS1G03,47894,VA,51107.0,51107611019.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,1,1,2,2,2,745000.0,89.99,4.0,-0.422,2,4436.4,,995.0,,,360,,,2,2,2,2,825000,1,1,3,5,1,,260.0,20%-<30%,1,1,3.0,,,,,3.0,,,,,2,2,6.0,,,,,6.0,,,,,2,2,3,3,2,2,25-34,25-34,No,No,1,1,6,,,,,10,,,,6160,35.24,114700,163,1612,1698,20
2019,KB1H1DSPRFMYMCUFXT09,99999,NM,35041.0,35041000300.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,1,3,2,1,32,1,2,2,2,175000.0,63.603,3.625,0.455,2,4017.93,,1662.5,432.5,,180,,,2,2,2,2,275000.0,1,1,3,5,1,,82.0,20%-<30%,1,9,2.0,,,,,1.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,65-74,55-64,Yes,No,1,1,2,,,,,10,,,,4631,38.03,53100,84,611,1599,40
2019,549300KY533JFETOYG46,33340,WI,55133.0,55133200103.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,1,2,1,1,1,2,2,2,225000.0,95.79,3.938,0.336,2,1404.8,,654.0,,1000.0,360,,,2,2,2,2,235000,1,1,3,5,1,,71.0,20%-<30%,1,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,1,2,2,25-34,25-34,No,No,1,1,1,,,,,10,,,,3113,10.44,82300,97,843,1204,51
2019,549300H3IZO24NSOO931,45300,FL,12101.0,12101032107.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,3,0,2,1,1,1,2,2,2,185000.0,80.0,,,3,,,,,,360.0,,,2,2,2,2,285000.0,1,1,3,5,1,,42.0,50%-60%,3,10,2.0,,,,,5.0,,,,,2,4,3.0,,,,,8.0,,,,,2,4,2,5,2,4,45-54,9999,No,,1,3,1,,,,,1,,,,4935,39.17,66900,141,1317,1933,13
2019,549300TN9GZ5XRCOXX47,26420,TX,48157.0,48157673101.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,3,0,2,1,1,2,2,2,2,85000.0,90.0,,,3,,,,,,240,,,2,2,2,2,585000,1,1,3,5,1,,203.0,42,7,10,2.0,,,,,5.0,,,,,2,4,3.0,,,,,8.0,,,,,2,4,2,5,2,4,35-44,9999,No,,1,1,6,,,,,9,,,,53812,46.07,77100,209,13975,15386,8
2019,7H6GLXDRUGQFU57RNE97,31084,CA,6037.0,6037480101.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,6,0,2,1,32,1,2,2,2,465000.0,,3.375,,2,7858.95,,6272.9,4677.9,123.38,360,,,2,2,2,2,1105000.0,1,1,3,5,2,,84.0,,9,9,3.0,,,,,3.0,,,,,2,2,6.0,,,,,6.0,,,,,2,2,2,1,2,2,55-64,55-64,Yes,No,3,3,6,,,,,10,,,,4412,84.11,73100,128,781,1269,60
2019,549300OPCWU6E72WUT29,19124,TX,48121.0,48121020105.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,2,3,1,1,2,2,2,295000.0,100.0,4.5,-0.029,2,4874.84,,1490.0,,375.92,360,,,2,2,2,2,295000,1,1,3,5,1,,75.0,40,1,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,1,,,,,10,,,,8396,33.8,83100,118,1768,2504,0
2019,5493004WMLN60ZJ2ON46,36740,FL,12095.0,12095017501.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,2,2,3,1,1,2,2,2,245000.0,103.29,4.125,0.208,2,7752.03,,0.0,,,360,,,2,2,2,2,235000,1,1,3,5,1,,85.0,39,3,9,2.0,,,,,2.0,,,,,2,2,3.0,,,,,3.0,,,,,2,2,1,2,2,2,>74,55-64,Yes,No,1,1,1,,,,,10,,,,9618,51.99,65100,112,2480,4028,14
2019,549300GS6ONO04ORI292,24420,OR,41033.0,41033361100.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,2,1,2,1,2,2,2,485000.0,69.193,4.5,0.491,2,5952.75,,3671.75,2421.75,,360,,,2,2,2,2,705000,1,1,3,5,1,,199.0,20%-<30%,7,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,1,,,,,10,,,,9350,13.93,48800,93,2310,3708,19
2019,549300AG64NHILB7ZP05,35614,NY,36081.0,36081019800.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,0,2,1,32,1,2,2,1,375000.0,,,,3,,,,,,240,,,2,2,2,2,,1,3,3,5,3,,63.0,,9,9,3.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,3,5,2,4,35-44,9999,No,,1,1,1,,,,,10,,,,2981,99.46,79300,63,272,845,59
2019,5493001NJEVHTZW7FG34,11244,CA,6059.0,6059110605.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,3,0,2,1,31,1,2,2,2,545000.0,72.267,,,3,,,,,,360,,,2,2,2,2,755000,1,1,3,5,1,,55.0,>60%,3,1,2.0,,,,,2.0,,,,,2,2,2.0,25.0,,,,2.0,25.0,,,,2,2,2,1,2,2,45-54,45-54,No,No,1,3,1,,,,,1,,,,6487,80.68,97900,94,1276,1982,38
2019,B4TYDEB6GKMZO031MB27,0,,,,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,7,0,1,1,1,1,2,2,2,405000.0,70.8,,,3,,,,,,360.0,,,2,2,2,2,,1,1,3,5,1,,104.0,30%-<36%,3,9,3.0,,,,,3.0,,,,,2,2,6.0,,,,,6.0,,,,,2,2,3,3,2,2,65-74,>74,Yes,Yes,1,1,5,,,,,3,,,,0,0.0,0,0,0,0,0
2019,54930052M48FOD3CWA54,45500,TX,48037.0,48037011300.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,2,2,2,1,1,2,2,2,135000.0,94.286,4.75,2.139,3,7987.99,,3507.24,537.24,,360,,,2,2,2,2,145000,1,1,3,5,1,,73.0,20%-<30%,1,10,2.0,,,,,5.0,,,,,3,4,5.0,,,,,8.0,,,,,3,4,1,5,3,4,25-34,9999,No,,1,1,3,,,,,10,,,,5554,23.69,57200,91,1489,2509,34
2019,5Z1UQ1CWY0DQ3KJWDQ07,28100,IL,17091.0,17091012000.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,71,2,2,5,1,2,2,2,105000.0,,5.0,,2,,,,,,360.0,,,2,2,2,2,125000.0,1,1,3,5,1,,,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7.0,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,5607,28.7,69200,70,828,1170,40
2019,549300GHAXBE9Q7W9273,40340,MN,27039.0,27039950100.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,1,2,1,1,1,2,2,2,275000.0,82.388,3.5,-0.129,2,5211.04,,3260.0,,200.0,360,,,2,2,2,2,335000,1,1,3,5,1,,155.0,20%-<30%,1,2,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,1,2,2,35-44,35-44,No,No,1,1,1,,,,,10,,,,4601,5.39,90500,122,1464,1601,28
2019,549300JYXTZDSPJEPI44,47664,MI,26125.0,26125123100.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,2,3,31,1,2,2,2,315000.0,,3.25,,2,2627.45,,0.0,,1170.0,360.0,,,2,2,2,2,,1,1,3,5,1,,,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7.0,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,3177,3.18,88200,144,1005,1039,34
2019,549300S5YL3OH0IVCS62,34580,WA,53057.0,53057951900.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Sex Not Available,4,0,2,2,4,1,1,1,2,185000.0,,,,3,,,,,,,,12,2,2,2,2,,1,1,3,5,1,,26.0,,9,9,2.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,3,5,2,4,>74,9999,Yes,,2,1,6,,,,,10,,,,3601,11.52,79100,137,1209,1481,34
2019,549300T94GSH3C4U5M59,45300,FL,12057.0,12057007103.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,3,0,2,1,2,2,2,1,2,55000.0,106.4385,,,3,,,,,,180,,12,2,2,2,2,205000,1,1,3,5,1,,72.0,50%-60%,8,10,3.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,1,5,2,4,45-54,9999,No,,1,1,6,,,,,1,4.0,,,4053,33.85,66900,94,912,1628,52
2019,549300NOCASXPA34X033,34980,TN,47147.0,47147080101.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,6,2,2,2,1,1,2,2,2,225000.0,,4.25,,3,,,,629.37,,360,,,2,2,2,2,375000.0,1,1,3,5,1,,,,9,9,2.0,,,,,5.0,,,,,1,4,3.0,,,,,8.0,,,,,1,4,1,5,1,4,55-64,9999,Yes,,3,3,6,,,,,10,,,,3957,9.33,73100,107,1161,1564,26
2019,549300O6Z0I6KYMESL47,31084,CA,6037.0,6037195400.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,9,2,1,32,1,2,2,1,555000.0,44.75,5.625,,3,,,,,,360.0,,84.0,2,1,2,2,1225000.0,1,3,3,5,3,,,,3,10,2.0,,,,,5.0,,,,,1,4,2.0,25.0,,,,8.0,,,,,2,4,2,5,1,4,35-44,9999,No,,2,1,6,,,,,10,,,,4427,35.67,73100,174,782,1790,70
2019,5493008N1D96CHCTQC27,41700,TX,48029.0,48029160502.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,0,2,1,32,1,2,2,2,65000.0,80.0,4.875,,3,1849.97,,0.0,,2045.97,180,,,2,2,2,2,85000,1,3,3,5,1,,57.0,44,2,10,1.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,55-64,9999,Yes,,1,1,1,,,,,10,,,,4272,98.03,71000,66,663,1215,60
2019,5493002LPXKMOZNXUY90,99999,ND,38101.0,38101010200.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,2,2,31,1,2,2,2,295000.0,88.712,3.375,0.437,2,6994.75,,615.0,,,360,,,2,2,2,2,335000,1,1,3,5,1,,63.0,40,1,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,45-54,9999,No,,1,1,3,,,,,10,,,,4943,9.37,80200,92,1188,1866,64
2019,549300AG64NHILB7ZP05,99999,CO,8083.0,8083969600.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Sex Not Available,1,2,2,2,32,1,2,2,2,155000.0,57.091,4.375,0.809,2,7433.26,,3340.31,3340.31,,360,,,2,2,2,2,275000.0,1,1,3,5,1,,44.0,50%-60%,1,10,3.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,3,5,2,4,65-74,9999,Yes,,1,1,3,,,,,10,,,,5077,31.32,68100,87,1577,2084,26
2019,254900HA4DQWAE0W3342,33860,AL,1101.0,1101005504.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,2,1,1,1,2,2,2,375000.0,,4.875,,3,3970.0,,1295.0,,,360,,,2,2,2,2,475000.0,1,1,3,5,1,,186.0,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7.0,,,,,3,3,4,4,3,3,55-64,9999,No,,3,3,6,,,,,1111,,,,1079,35.03,65900,159,375,449,11
2019,549300LYRWPSYPK6S325,25260,CA,6031.0,6031000402.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,5,0,2,3,32,1,2,2,2,305000.0,,,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,93.0,,9,9,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,55-64,9999,No,,1,1,1,,,,,10,,,,5777,52.26,58100,159,1201,1915,22
2019,KB1H1DSPRFMYMCUFXT09,47894,MD,24033.0,24033801405.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,3,0,2,1,32,1,2,2,2,265000.0,80.0,,,3,,,,,,360.0,,,2,2,2,2,335000.0,1,1,3,5,1,,79.0,47,3,9,2.0,,,,,2.0,,,,,2,2,2.0,23.0,,,,2.0,23.0,,,,2,2,1,1,2,2,65-74,25-34,Yes,No,1,1,6,,,,,9,3.0,,,4681,89.81,114700,58,807,1132,48
2019,54930021WPEXNHYZUL09,38900,OR,41005.0,41005024303.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,2,3,32,1,2,2,2,345000.0,,3.5,,2,,,,,,360,,,2,2,2,2,395000.0,1,1,3,5,1,,141.0,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7.0,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,3439,7.15,87900,106,1106,2103,30
2019,549300HW662MN1WU8550,99999,WI,55071.0,55071000600.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,275000.0,80.0,4.25,0.159,2,700.0,,0.0,,700.0,360,,,2,2,2,2,335000.0,1,1,3,5,1,,106.0,30%-<36%,3,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,1,2,2,25-34,35-44,No,No,2,2,1,,,,,10,,,,5359,15.9,65900,97,1416,2039,39
2019,549300Y4BSP3BSFW7J29,12060,GA,13089.0,13089023427.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,3,0,2,1,32,2,2,2,2,45000.0,89.713,,,3,,,,,,180.0,,,2,2,2,2,205000.0,1,1,3,5,1,,68.0,>60%,3,9,2.0,,,,,2.0,,,,,3,3,3.0,,,,,3.0,,,,,3,3,1,2,3,3,55-64,55-64,No,No,1,1,6,,,,,1,,,,2838,96.79,79200,90,864,1177,30
2019,7H6GLXDRUGQFU57RNE97,35614,NJ,34003.0,34003025100.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Male,4,0,2,1,1,1,2,2,2,485000.0,,,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,151.0,,9,9,1.0,,,,,5.0,,,,,2,4,3.0,,,,,8.0,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,1,2.0,5.0,,,10,,,,6467,29.86,79300,130,1330,2042,59
2019,DRMSV1Q0EKMEXLAU1P80,15380,NY,36063.0,36063023001.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,2,1,2,1,2,85000.0,71.0,7.99,3.01,2,,,,,,300,36.0,1,2,1,2,2,115000.0,1,1,3,5,2,,64.0,44,7,10,2.0,,,,,5.0,,,,,1,4,5.0,,,,,8.0,,,,,1,4,1,5,1,4,35-44,9999,No,,1,1,5,,,,,10,,,,2244,5.57,76900,65,644,1025,76
2019,254900CNZPI5WN45KW48,27860,AR,5031.0,5031000300.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,6,2,1,31,1,2,2,2,95000.0,80.0,4.25,0.576,2,2668.65,,1532.5,,,360,,,2,2,2,2,115000,1,1,3,5,1,,55.0,<20%,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,>74,9999,Yes,,1,1,1,,,,,10,,,,7312,20.4,53100,110,2104,2811,39
2019,549300XWUSRVVOHPRY47,26420,TX,48201.0,48201555600.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,6,2,1,1,1,2,2,2,375000.0,90.0,3.875,0.287,2,3707.63,,1577.75,,,360.0,,,2,2,2,2,425000.0,1,1,3,5,1,,131.0,45,2,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,35-44,9999,No,,1,1,1,,,,,10,,,,5418,31.91,77100,136,1549,1767,19
2019,5493008SP1FN4D81IS17,16060,IL,17199.0,17199020900.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,32,2,1111,1111,1111,25000.0,Exempt,Exempt,Exempt,2,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,1111,1111,1111,1111,Exempt,1,1,1111,1111,1,Exempt,117.0,Exempt,1111,1111,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,45-54,9999,No,,1111,1111,1111,,,,,1111,,,,4952,14.05,61700,126,1574,1975,23
